MultiPolygon (((743158 1043211.75, 743157.29 1043219.95, 743182.16 1043219.68, 743183.2 1043208.75, 743176.49 1043209.48, 743167.65 1043210.77, 743158 1043211.75)))
MultiPolygon (((743080.17 1043165.02, 743079.72 1043168.06, 743078.47 1043173.59, 743073.9 1043172.41, 743073.35 1043174.21, 743073.07 1043175.15, 743072.13 1043178.23, 743068.89 1043177.25, 743068.34 1043177.08, 743066.49 1043187.8, 743080.49 1043190.15, 743083.41 1043176.49, 743083.91 1043174.16, 743084.26 1043172.19, 743082.15 1043171.81, 743081.76 1043173.93, 743080.1 1043173.76, 743081.73 1043166.63, 743085.13 1043167.34, 743085.83 1043163.42, 743081.25 1043161.86, 743080.57 1043164.82, 743080.17 1043165.02)))
MultiPolygon (((743091.7 1043172.71, 743090.83 1043178.25, 743083.41 1043176.49, 743080.49 1043190.15, 743085.7 1043190.67, 743085.67 1043190.91, 743087.93 1043191.16, 743088 1043190.94, 743095.98 1043192.02, 743099.64 1043170.59, 743096.62 1043169.98, 743093.49 1043169.79, 743094.43 1043165.75, 743085.89 1043163.08, 743085.83 1043163.42, 743085.13 1043167.34, 743084.6 1043170.28, 743091.7 1043172.71)))
MultiPolygon (((743141.67 1043180.09, 743138.41 1043201.44, 743135.11 1043200.88, 743134.15 1043205.49, 743134.11 1043205.8, 743144.32 1043207.81, 743144.29 1043208.09, 743151.84 1043208.8, 743153.27 1043199.74, 743148.9 1043199.32, 743150.54 1043188.41, 743151.37 1043180.18, 743141.73 1043179.54, 743141.67 1043180.09)))
MultiPolygon (((743161.19 1043180.78, 743158.23 1043180.89, 743158.07 1043180.23, 743151.37 1043180.18, 743150.54 1043188.41, 743169.97 1043186.16, 743170.34 1043189.85, 743167.6 1043190.22, 743168.33 1043195.9, 743170.93 1043195.69, 743171.49 1043199.17, 743153.27 1043199.74, 743151.84 1043208.8, 743182.54 1043205.84, 743183.27 1043205.18, 743183.61 1043177.53, 743181.7 1043177.66, 743161.19 1043180.78)))
MultiPolygon (((743161.76 1043164.95, 743161.19 1043180.78, 743181.7 1043177.66, 743182.02 1043165.74, 743161.76 1043164.95)))
MultiPolygon (((743168 1043152.36, 743168.02 1043154.88, 743162 1043154.61, 743161.92 1043158.01, 743160.02 1043157.97, 743159.98 1043159.67, 743161.88 1043159.71, 743161.76 1043164.95, 743182.02 1043165.74, 743182.1 1043152.71, 743168 1043152.36)))
MultiPolygon (((743147.2 1043160.2, 743149.76 1043169.04, 743156 1043168.06, 743157.24 1043167.15, 743153.62 1043154.91, 743146.58 1043157.66, 743147.2 1043160.2)))
MultiPolygon (((743090.56 1043069.6, 743079.85 1043095.91, 743094.38 1043100.54, 743095.41 1043100.36, 743098.4 1043100.19, 743118.38 1043098.93, 743119.96 1043094.59, 743119.41 1043088.68, 743119.14 1043088.69, 743118.07 1043071.53, 743116.67 1043063.91, 743100.19 1043059.92, 743100.25 1043059.68, 743099.16 1043059.46, 743093.17 1043066.25, 743092.24 1043067.45, 743090.56 1043069.6)))
MultiPolygon (((743112.2 1043108.67, 743112.38 1043108.68, 743113.79 1043108.62, 743113.78 1043108.4, 743114.46 1043108.37, 743122.51 1043108.27, 743119.64 1043100.56, 743118.38 1043098.93, 743098.4 1043100.19, 743099.07 1043105.15, 743099.45 1043108.05, 743108.89 1043108.56, 743112.2 1043108.67)))
MultiPolygon (((743097.99 1043111.32, 743097.48 1043115.2, 743092.6 1043114.69, 743092.14 1043114.65, 743090.27 1043129.9, 743099.31 1043131.44, 743107.21 1043132.47, 743107.86 1043123.55, 743108.2 1043119.93, 743108.32 1043118.18, 743108.51 1043114.68, 743108.75 1043112.16, 743108.77 1043111.97, 743108.89 1043108.56, 743099.45 1043108.05, 743099.07 1043105.15, 743098.4 1043100.19, 743095.41 1043100.36, 743094.56 1043104.75, 743097.96 1043105.79, 743097.99 1043111.32)))
MultiPolygon (((743079.85 1043095.91, 743071.91 1043113.52, 743073.29 1043123.69, 743090.27 1043129.9, 743092.14 1043114.65, 743092.6 1043114.69, 743094.56 1043104.75, 743095.41 1043100.36, 743094.38 1043100.54, 743079.85 1043095.91),(743089.69 1043107.5, 743086.55 1043118.78, 743080.76 1043116.94, 743084.37 1043107.44, 743085.07 1043105.72, 743088.38 1043106.99, 743089.69 1043107.5)))
MultiPolygon (((743113.79 1043108.62, 743112.38 1043108.68, 743112.2 1043108.67, 743112.15 1043111.93, 743108.75 1043112.16, 743108.51 1043114.68, 743108.32 1043118.18, 743111.08 1043117.87, 743113.66 1043117.68, 743113.73 1043117.94, 743114.2 1043117.91, 743114.31 1043118.17, 743116.16 1043117.91, 743117.83 1043117.81, 743117.52 1043116.11, 743116.9 1043113.4, 743119.49 1043112.65, 743124.05 1043111.22, 743122.51 1043108.27, 743114.46 1043108.37, 743113.78 1043108.4, 743113.79 1043108.62)))
MultiPolygon (((743123.29 1043119.42, 743126.43 1043130.73, 743131.52 1043129.62, 743136.54 1043127.87, 743141.09 1043125.44, 743139.34 1043120.76, 743136.6 1043119.72, 743134.82 1043118.82, 743132.72 1043118.72, 743130.4 1043118.31, 743128.85 1043116.15, 743125 1043111.75, 743124.05 1043111.22, 743119.49 1043112.65, 743123.29 1043119.42)))
MultiPolygon (((743118.22 1043121.11, 743119.7 1043131.73, 743126.43 1043130.73, 743123.29 1043119.42, 743119.49 1043112.65, 743116.9 1043113.4, 743117.52 1043116.11, 743117.83 1043117.81, 743118.17 1043120.24, 743118.22 1043121.11)))
MultiPolygon (((743113.23 1043122.09, 743113.66 1043132.39, 743119.7 1043131.73, 743118.22 1043121.11, 743116.32 1043121.55, 743113.23 1043122.09)))
MultiPolygon (((743107.86 1043123.55, 743107.21 1043132.47, 743113.66 1043132.39, 743113.23 1043122.09, 743111.76 1043122.36, 743111.87 1043122.92, 743107.86 1043123.55)))
MultiPolygon (((743040.17 1043171.53, 743050.64 1043173.57, 743050.81 1043167.08, 743051.65 1043159.87, 743051.98 1043159.86, 743053.1 1043152.11, 743052.61 1043152.02, 743054.13 1043143.78, 743046.22 1043141.9, 743046.16 1043142.1, 743043.01 1043158.36, 743042.88 1043158.38, 743042.01 1043161.72, 743040.96 1043166.15, 743040.17 1043171.53)))
MultiPolygon (((743039.68 1043157.39, 743038.05 1043163.4, 743037.19 1043163.25, 743036.83 1043163.22, 743036.62 1043159.7, 743032.82 1043161.82, 743032.12 1043161.91, 743031.81 1043164.65, 743030.39 1043169.38, 743032.33 1043169.76, 743035.9 1043170.62, 743040.17 1043171.53, 743040.96 1043166.15, 743042.01 1043161.72, 743042.88 1043158.38, 743043.01 1043158.36, 743046.16 1043142.1, 743039.44 1043140.57, 743038.64 1043145.66, 743037.52 1043151.5, 743036.93 1043156.72, 743037.27 1043156.85, 743039.68 1043157.39)))
MultiPolygon (((743026.98 1043152.52, 743026.75 1043156.65, 743027 1043164.01, 743031.81 1043164.65, 743032.12 1043161.91, 743032.82 1043161.82, 743032.91 1043159.99, 743028.84 1043159.59, 743029.03 1043157.01, 743032.97 1043157.29, 743033.04 1043156.28, 743036.93 1043156.72, 743037.52 1043151.5, 743038.64 1043145.66, 743039.44 1043140.57, 743027.84 1043139.8, 743027.68 1043147.76, 743026.98 1043152.52)))
MultiPolygon (((743020.17 1043139.53, 743011.88 1043140.47, 743011.71 1043140.28, 743005.09 1043141, 743004.98 1043141.34, 742997.08 1043142.33, 742998.09 1043149.54, 742997.7 1043149.82, 742997.91 1043150.57, 742998.32 1043153.19, 742998.29 1043153.83, 742998.57 1043153.9, 742998.96 1043155.78, 743001.27 1043159.1, 743004.11 1043162.36, 743006.91 1043165.07, 743015.58 1043173.62, 743016.87 1043174.93, 743020.59 1043178.62, 743024.1 1043173.36, 743026.43 1043174.3, 743028.47 1043175.52, 743028.78 1043174.94, 743028.5 1043174.89, 743030.39 1043169.38, 743031.81 1043164.65, 743027 1043164.01, 743026.75 1043156.65, 743026.98 1043152.52, 743027.68 1043147.76, 743027.84 1043139.8, 743024.69 1043139.62, 743024.63 1043139.39, 743022.42 1043139.45, 743020.17 1043139.53)))
MultiPolygon (((743020.59 1043178.62, 743029.39 1043185.1, 743033.46 1043177.58, 743033.6 1043177.13, 743028.47 1043175.52, 743026.43 1043174.3, 743024.1 1043173.36, 743020.59 1043178.62)))
MultiPolygon (((743030.39 1043169.38, 743028.5 1043174.89, 743028.78 1043174.94, 743028.47 1043175.52, 743033.6 1043177.13, 743033.46 1043177.58, 743048.49 1043184.04, 743050.64 1043173.57, 743040.17 1043171.53, 743035.9 1043170.62, 743035.23 1043173.69, 743031.72 1043172.6, 743032.33 1043169.76, 743030.39 1043169.38)))
MultiPolygon (((743029.39 1043185.1, 743045.8 1043193.16, 743048.49 1043184.04, 743033.46 1043177.58, 743029.39 1043185.1)))
MultiPolygon (((742993.3 1043174.25, 742992.24 1043186.95, 742992.43 1043193.18, 742993.88 1043202.2, 743001.32 1043200.09, 742999.68 1043187.54, 743001.22 1043187.6, 743004.34 1043186.5, 743004.5 1043186.89, 743009.68 1043184.35, 743012.24 1043187.6, 743013.1 1043188.41, 743015.45 1043190.67, 743019.74 1043194.84, 743029.66 1043191.99, 743017.48 1043180.49, 743008.39 1043171.27, 743004.58 1043166.7, 742993.3 1043174.25)))
MultiPolygon (((742993.94 1043202.6, 742996.28 1043213, 743008.96 1043251.78, 743010.25 1043251.33, 743009.77 1043249.41, 743011.38 1043248.94, 743011.9 1043250.85, 743017.72 1043249.16, 743017.28 1043247.43, 743019.16 1043246.88, 743019.7 1043248.55, 743025.6 1043246.86, 743025.07 1043245.07, 743026.88 1043244.6, 743027.47 1043246.27, 743033.21 1043244.64, 743032.69 1043242.85, 743034.45 1043242.31, 743034.97 1043244.02, 743040.65 1043242.32, 743040.19 1043240.61, 743041.58 1043240.22, 743042.14 1043241.88, 743047.48 1043240.34, 743046.99 1043238.79, 743048.82 1043238.24, 743049.25 1043239.76, 743050.88 1043239.35, 743051.38 1043241.11, 743049.33 1043241.74, 743050.84 1043246.96, 743053.29 1043246.16, 743053.94 1043246.03, 743052.56 1043237.22, 743042.41 1043204.03, 743029.66 1043191.99, 743019.74 1043194.84, 743012.37 1043196.96, 743001.32 1043200.09, 742993.88 1043202.2, 742993.94 1043202.6),(743038.9 1043230.64, 743016.72 1043237.14, 743009.74 1043215.23, 743031.7 1043208.53, 743038.9 1043230.64)))
MultiPolygon (((743046.99 1043238.79, 743047.48 1043240.34, 743042.14 1043241.88, 743041.58 1043240.22, 743040.19 1043240.61, 743040.65 1043242.32, 743034.97 1043244.02, 743034.45 1043242.31, 743032.69 1043242.85, 743033.21 1043244.64, 743027.47 1043246.27, 743026.88 1043244.6, 743025.07 1043245.07, 743025.6 1043246.86, 743019.7 1043248.55, 743019.16 1043246.88, 743017.28 1043247.43, 743017.72 1043249.16, 743011.9 1043250.85, 743011.38 1043248.94, 743009.77 1043249.41, 743010.25 1043251.33, 743008.96 1043251.78, 743011.21 1043258.46, 743011.09 1043262.92, 743012.09 1043265.88, 743012.99 1043267.02, 743013.77 1043267.49, 743014.39 1043269.75, 743016.11 1043269.38, 743017.59 1043274.55, 743015.86 1043274.96, 743016.37 1043276.58, 743018.04 1043276.21, 743018.68 1043277.89, 743020.14 1043277.42, 743019.68 1043275.86, 743026.09 1043273.89, 743026.62 1043275.58, 743028.21 1043275.14, 743027.73 1043273.5, 743033.07 1043271.85, 743033.6 1043273.45, 743042.39 1043270.72, 743041.95 1043269.16, 743047.63 1043267.55, 743048.15 1043269.14, 743049.82 1043268.6, 743049.16 1043266.99, 743053.89 1043265.61, 743054.45 1043267.16, 743056.06 1043266.76, 743057.17 1043264.84, 743056.29 1043261.89, 743056.62 1043257.45, 743053.29 1043246.16, 743050.84 1043246.96, 743049.33 1043241.74, 743051.38 1043241.11, 743050.88 1043239.35, 743049.25 1043239.76, 743048.82 1043238.24, 743046.99 1043238.79)))
MultiPolygon (((743032.89 1043284.08, 743038 1043300.26, 743039.99 1043307.15, 743040.95 1043307.21, 743046.66 1043305.77, 743046.89 1043305.71, 743052.45 1043304.78, 743064.01 1043302.88, 743063.38 1043297.78, 743060.41 1043298.13, 743057.63 1043284.31, 743061.55 1043283.25, 743058.49 1043271.7, 743056.74 1043270.82, 743053.3 1043272.24, 743034.87 1043279.82, 743032.89 1043284.08),(743052.72 1043285.94, 743055.17 1043298.56, 743048.51 1043299.21, 743048.98 1043287.45, 743052.72 1043285.94)))
MultiPolygon (((743051.01 1043358.71, 743059.77 1043362.86, 743060.63 1043362.18, 743061.86 1043360.97, 743062.09 1043361.12, 743062.62 1043360.71, 743062.48 1043360.55, 743064.16 1043359.05, 743064.36 1043359.19, 743065.06 1043358.66, 743064.79 1043358.49, 743069.01 1043354.99, 743066.71 1043344.61, 743065.98 1043342.18, 743064.01 1043302.88, 743052.45 1043304.78, 743053.3 1043314.54, 743056.88 1043343.37, 743052.09 1043344.93, 743049.93 1043345.8, 743043.11 1043349.32, 743047.06 1043355.74, 743051.01 1043358.71)))
MultiPolygon (((743036.16 1043335.5, 743043.11 1043349.32, 743049.93 1043345.8, 743047.83 1043341.55, 743046.29 1043338.43, 743043.13 1043331.81, 743040.77 1043321.77, 743044.1 1043320.87, 743039.99 1043307.15, 743038 1043300.26, 743025.1 1043305, 743029.64 1043322.59, 743032.12 1043328.73, 743036.16 1043335.5)))
MultiPolygon (((743191.42 1043334.08, 743187.41 1043354.66, 743198.75 1043357.14, 743221.78 1043360.42, 743230.46 1043360.82, 743243.2 1043362.21, 743243.2 1043361.76, 743243.07 1043360.96, 743243.18 1043349.3, 743252.2 1043349.36, 743251.74 1043348.03, 743256.04 1043347.7, 743256.73 1043347.58, 743258.14 1043347.54, 743254.84 1043337.28, 743254.1 1043337.35, 743254.19 1043337.75, 743239.02 1043339.73, 743239.68 1043343.09, 743238.7 1043343.28, 743239.11 1043348.91, 743234.58 1043349.12, 743234.77 1043351.58, 743229.03 1043350.73, 743217.3 1043350.4, 743205.73 1043348.78, 743206.45 1043345.73, 743211.45 1043345.81, 743211.37 1043334.25, 743210.23 1043334.19, 743210.23 1043334.62, 743208.2 1043334.17, 743206.62 1043330.66, 743204.19 1043323.89, 743200.62 1043325.31, 743199.71 1043325.87, 743191.42 1043334.08)))
MultiPolygon (((743075.59 1043364.5, 743073.42 1043371.61, 743072.43 1043371.27, 743072.2 1043372.07, 743076.79 1043373.75, 743077.3 1043373.45, 743092.62 1043379.23, 743094.43 1043375.64, 743094.08 1043375.57, 743094.96 1043373.57, 743095.54 1043373.78, 743098.32 1043367.73, 743098.9 1043366.43, 743100.16 1043362.99, 743101.09 1043360.86, 743100.32 1043360.39, 743103.84 1043355.6, 743099.01 1043352.37, 743101.74 1043346.94, 743101 1043346.54, 743101.59 1043345.81, 743077.82 1043351.77, 743077.22 1043352.39, 743076.49 1043359.63, 743075.59 1043364.5)))
MultiPolygon (((743108.19 1043369.32, 743112.3 1043372.02, 743109.99 1043376.02, 743106.47 1043374.28, 743105.06 1043377.14, 743103.79 1043376.5, 743103.41 1043377.33, 743102.26 1043376.8, 743105.06 1043370.67, 743098.32 1043367.73, 743095.54 1043373.78, 743094.96 1043373.57, 743094.08 1043375.57, 743094.43 1043375.64, 743092.62 1043379.23, 743094.75 1043380.13, 743096.04 1043380.55, 743095.88 1043381.21, 743100.44 1043383.01, 743103.73 1043384.34, 743109.12 1043386.42, 743113.62 1043377.88, 743113.43 1043377.69, 743117.1 1043371.72, 743122.73 1043375.66, 743129.74 1043364.12, 743101.59 1043345.81, 743101 1043346.54, 743101.74 1043346.94, 743099.01 1043352.37, 743103.84 1043355.6, 743100.32 1043360.39, 743101.09 1043360.86, 743109.67 1043366.82, 743108.19 1043369.32)))


