MultiPolygon (((746391.89 1041722.91, 746382.74 1041724.24, 746382.67 1041723.74, 746379.46 1041724.17, 746380.93 1041734.52, 746382.87 1041734.23, 746383.03 1041735.33, 746388.33 1041734.55, 746388.17 1041733.45, 746393.33 1041732.69, 746393.32 1041732.57, 746396.9 1041732.01, 746396.56 1041726.53, 746392.5 1041727.13, 746391.89 1041722.91))),,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746367.16 1041726.49, 746368.59 1041736.35, 746373.66 1041735.6, 746373.8 1041736.59, 746379.13 1041735.79, 746378.98 1041734.81, 746380.93 1041734.52, 746379.46 1041724.17, 746376.43 1041724.65, 746376.5 1041725.14, 746367.16 1041726.49))),,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746356.45 1041729.96, 746356.6 1041730.63, 746359.55 1041730.2, 746358.63 1041724.14, 746355.71 1041724.56, 746355.68 1041724.65, 746356.45 1041729.96))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746349.78 1041725.49, 746350.18 1041728.33, 746350.25 1041728.32, 746350.61 1041730.88, 746356.45 1041729.96, 746355.68 1041724.65, 746349.78 1041725.49))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746337.93 1041730.69, 746339.43 1041741.07, 746351.8 1041739.29, 746350.61 1041730.88, 746350.25 1041728.32, 746350.18 1041728.33, 746343.98 1041729.19, 746344.06 1041729.79, 746337.93 1041730.69))),,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746305.08 1041741.37, 746306.16 1041748.73, 746307.51 1041748.54, 746307.6107 1041748.9241, 746307.7726 1041749.2868, 746307.9914 1041749.6182, 746308.2612 1041749.9096, 746308.5749 1041750.1532, 746308.924 1041750.3425, 746309.2992 1041750.4724, 746309.6906 1041750.5396, 746310.0878 1041750.5421, 746310.48 1041750.48, 746316.4 1041749.49, 746316.29 1041748.75, 746318.52 1041748.42, 746318.26 1041746.72, 746321.03 1041746.3, 746319.38 1041735.4, 746315.64 1041735.97, 746311.96 1041736.52, 746309.86 1041736.8, 746308.27 1041737.02, 746307.87 1041737.07, 746308.43 1041740.88, 746305.08 1041741.37))),,,,,,,,,,
MultiPolygon (((746294.36 1041736.43, 746295.21 1041742.08, 746299.15 1041741.6, 746298.41 1041735.89, 746294.36 1041736.43))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746285.2 1041740.13, 746284 1041740.34, 746283.53 1041737.16, 746283.05 1041737.23, 746283.51 1041740.41, 746283.95 1041743.39, 746284.46 1041743.31, 746285.65 1041752.47, 746290.89 1041751.45, 746291.02 1041752.35, 746296.57 1041751.55, 746295.21 1041742.08, 746294.36 1041736.43, 746290.74 1041736.96, 746290.83 1041737.57, 746285.42 1041738.41, 746284.94 1041738.48, 746285.2 1041740.13))),,,,,,,,,,,,,,,,,,
MultiPolygon (((746265.98 1041739.55, 746266.21 1041741.16, 746265.44 1041741.27, 746267.58 1041755.91, 746269.23 1041755.65, 746269.55 1041757.63, 746273.32 1041757.02, 746273 1041755.04, 746277.49 1041754.32, 746276.47 1041746.32, 746275.64 1041741.26, 746268.99 1041742.23, 746268.78 1041740.8, 746268.02 1041740.91, 746267.8 1041739.3, 746265.98 1041739.55))),,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746260.64 1041748.55, 746260.85 1041749.82, 746264.27 1041749.37, 746263.35 1041742.5, 746259.94 1041742.95, 746260.58 1041748.11, 746260.64 1041748.55))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746256.3 1041742.31, 746257.12 1041748.57, 746260.58 1041748.11, 746259.94 1041742.95, 746259.75 1041741.85, 746256.3 1041742.31))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746251.76 1041742.14, 746251.89 1041743.01, 746251.52 1041743.08, 746251.57 1041743.38, 746244.75 1041744.33, 746245.2 1041747.45, 746240.87 1041748.11, 746241.65 1041752.94, 746242.26 1041757.47, 746242.75 1041761.03, 746247.61 1041760.37, 746247.39 1041758.67, 746251.83 1041758, 746251.67 1041756.82, 746256.88 1041756.13, 746254.91 1041742.59, 746254.55 1041742.64, 746254.42 1041741.76, 746254.02 1041741.82, 746252.12 1041742.09, 746251.76 1041742.14))),,,,,,,,,,,,,,,
MultiPolygon (((746220.36 1041745.92, 746222.48 1041760.5, 746226.67 1041759.89, 746226.77 1041760.78, 746232.59 1041759.89, 746230.61 1041746.34, 746227.79 1041746.75, 746227.6 1041745.47, 746226.62 1041745.61, 746224.01 1041745.99, 746223.93 1041745.41, 746221.19 1041745.8, 746220.36 1041745.92))),,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746204.73 1041748.99, 746204.89 1041750.09, 746201.93 1041750.52, 746201.49 1041750.59, 746203.53 1041764.57, 746208.27 1041763.88, 746208.6298 1041764.1532, 746209.0283 1041764.366, 746209.4555 1041764.5131, 746209.9005 1041764.5908, 746210.3522 1041764.5972, 746210.7993 1041764.532, 746211.2304 1041764.3969, 746211.6347 1041764.1953, 746212.0021 1041763.9323, 746212.3232 1041763.6146, 746212.59 1041763.25, 746213.56 1041763.11, 746211.52 1041749.12, 746208.4 1041749.58, 746208.24 1041748.5, 746205.69 1041748.86, 746205.39 1041748.91, 746204.73 1041748.99))),,,,,,,,,,,,
MultiPolygon (((746192.32 1041768.27, 746192.81 1041771.23, 746199.19 1041770.17, 746198.77 1041767.2, 746192.62 1041768.22, 746192.32 1041768.27))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746181.25 1041751.93, 746181.49 1041753.52, 746178.21 1041754, 746178.35 1041754.98, 746175.55 1041755.39, 746177.07 1041765.81, 746192.6 1041763.54, 746192.21 1041760.86, 746191.08 1041753.13, 746188.27 1041753.54, 746188.13 1041752.55, 746184.81 1041753.04, 746184.58 1041751.44, 746184.25 1041751.49, 746181.59 1041751.88, 746181.25 1041751.93))),,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746379.64 1041764.51, 746380.5 1041768.75, 746389.39 1041766.86, 746391.8 1041766.34, 746389.69 1041756.41, 746378.5 1041758.8, 746379.64 1041764.51))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746346.85 1041763.24, 746347.63 1041766.57, 746345.59 1041766.99, 746346.28 1041770.3, 746347.43 1041775.86, 746351.45 1041775.01, 746351.61 1041775.79, 746356.32 1041774.81, 746356.15 1041774.01, 746360.38 1041773.11, 746357.92 1041762.19, 746351.04 1041763.65, 746350.64 1041761.76, 746346.71 1041762.61, 746346.85 1041763.24))),,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746339.91 1041761.84, 746340.57 1041765.02, 746343.56 1041764.4, 746343.47 1041763.99, 746346.85 1041763.24, 746346.71 1041762.61, 746346.12 1041760.53, 746339.91 1041761.84))),,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746339.27 1041758.81, 746339.91 1041761.84, 746346.12 1041760.53, 746345.48 1041757.49, 746339.27 1041758.81))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746324.44 1041770.96, 746321.52 1041771.59, 746321.41 1041771.11, 746314.67 1041772.6, 746316.8 1041782.34, 746326.45 1041780.21, 746324.44 1041770.96))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746316.74 1041762.05, 746317.15 1041765.14, 746323.21 1041764.36, 746322.8 1041761.22, 746316.74 1041762.05))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746295.95 1041777.9, 746294.51 1041778.24, 746294.47 1041778.09, 746291.32 1041778.78, 746291.29 1041778.63, 746287.2 1041779.52, 746287.24 1041779.67, 746284.06 1041780.36, 746284.09 1041780.51, 746282.63 1041780.82, 746283.5 1041784.85, 746285.06 1041784.54, 746286.03 1041789.02, 746296.42 1041786.77, 746296.14 1041785.5, 746295.43 1041782.2, 746296.82 1041781.72, 746295.95 1041777.9))),,,,,,,,,,,,,,,,,,
MultiPolygon (((746243.81 1041787.04, 746234.02 1041789.07, 746233.84 1041788.45, 746230.88 1041789.09, 746231.64 1041792.74, 746230.24 1041793.03, 746231.64 1041799.84, 746233.04 1041799.56, 746236.86 1041798.77, 746237.03 1041799.52, 746242.2 1041798.34, 746242.04 1041797.61, 746245.84 1041796.82, 746243.81 1041787.04))),,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746206.76 1041792.17, 746207.72 1041796.49, 746205.16 1041797.03, 746207.15 1041806, 746220.54 1041802.97, 746220.88 1041802.89, 746218.49 1041792.35, 746218.1 1041792.42, 746217.52 1041789.79, 746206.76 1041792.17))),,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746185.6 1041799.57, 746187.68 1041809.68, 746187.39 1041809.74, 746187.5 1041810.22, 746194.87 1041808.68, 746194.77 1041808.21, 746197.7 1041807.58, 746196.63 1041802.67, 746194.69 1041803.09, 746193.66 1041797.88, 746185.89 1041799.51, 746185.6 1041799.57))),,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746177.64 1041803.83, 746178.32 1041806.94, 746179.81 1041806.41, 746180.85 1041811.17, 746187.39 1041809.74, 746187.68 1041809.68, 746185.6 1041799.57, 746185.89 1041799.51, 746185.37 1041797.28, 746179.69 1041798.6, 746180.5 1041802.05, 746180.64 1041803.16, 746177.64 1041803.83))),,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746381.66 1041788.78, 746383.93 1041799.32, 746388.08 1041798.44, 746388.29 1041799.42, 746393.02 1041798.41, 746392.81 1041797.43, 746396.9 1041796.57, 746394.79 1041786.02, 746394.53 1041786.08, 746392.15 1041786.58, 746389.13 1041787.21, 746381.66 1041788.78))),,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746357.87 1041791.97, 746348.68 1041793.82, 746349.86 1041799.15, 746350.01 1041799.13, 746351.97 1041808.11, 746363.51 1041805.71, 746364.6 1041810.33, 746376.26 1041807.74, 746374.16 1041797.97, 746362.42 1041800.43, 746360.88 1041793.25, 746358.27 1041793.8, 746357.87 1041791.97))),,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746329.57 1041800.23, 746324.67 1041801.32, 746324.59 1041800.91, 746324.1 1041801.02, 746321.47 1041801.58, 746319.55 1041801.99, 746319.79 1041803.13, 746320.22 1041805.13, 746321.77 1041812.87, 746326.48 1041811.85, 746326.5 1041812.25, 746326.58 1041812.64, 746326.72 1041813.01, 746326.93 1041813.35, 746327.18 1041813.65, 746327.49 1041813.91, 746327.83 1041814.11, 746328.2 1041814.25, 746328.59 1041814.33, 746328.99 1041814.34, 746329.38 1041814.29, 746329.76 1041814.17, 746330.12 1041813.99, 746330.44 1041813.75, 746330.71 1041813.47, 746330.94 1041813.14, 746331.11 1041812.78, 746331.21 1041812.4, 746331.25 1041812, 746331.23 1041811.6, 746331.13 1041811.22, 746330.98 1041810.85, 746331.69 1041810.71, 746329.57 1041800.23))),,
MultiPolygon (((746310.04 1041811.16, 746310.66 1041814.07, 746310.88 1041814.03, 746311.51 1041816.94, 746314.69 1041816.19, 746313.33 1041810.39, 746310.04 1041811.16))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746303.34 1041805.35, 746302.16 1041805.61, 746302.33 1041806.43, 746299.61 1041807.01, 746301.06 1041813.34, 746301.63 1041816, 746303.36 1041815.63, 746310.66 1041814.07, 746310.04 1041811.16, 746308.74 1041805.05, 746306.57 1041805.51, 746306.4 1041804.69, 746305.2 1041804.95, 746303.34 1041805.35))),,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746286.8 1041809.47, 746280.94 1041810.76, 746280.88 1041810.49, 746279.49 1041810.79, 746276.88 1041811.34, 746276.12 1041811.5, 746278.76 1041823.69, 746289.32 1041821.42, 746288.17 1041816.06, 746290.25 1041815.61, 746289.5 1041811.66, 746287.33 1041812.1, 746286.8 1041809.47))),,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746262.45 1041814.65, 746253.09 1041816.7, 746252.88 1041815.72, 746251.99 1041815.91, 746250.17 1041816.31, 746249.34 1041816.49, 746252.04 1041829.22, 746256.07 1041828.34, 746256.39 1041829.81, 746261.23 1041828.76, 746260.91 1041827.29, 746264.95 1041826.41, 746263.78 1041820.9, 746265.7 1041820.49, 746264.89 1041816.62, 746262.95 1041817.03, 746262.45 1041814.65))),,,,,,,,,,,,,,,,,,,
MultiPolygon (((746222.73 1041831.38, 746223.69 1041836.09, 746226.32 1041835.54, 746230.88 1041834.55, 746231.02 1041835.24, 746235.74 1041834.21, 746235.59 1041833.52, 746240.13 1041832.54, 746237.37 1041819.73, 746223.8 1041822.65, 746223.64 1041822.68, 746225.1 1041829.68, 746223.34 1041830.05, 746223.58 1041831.21, 746222.73 1041831.38))),,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746210.18 1041825.35, 746201.29 1041827.52, 746201.22 1041827.21, 746200.94 1041827.27, 746198.67 1041827.76, 746198.37 1041827.81, 746200.68 1041839.02, 746204.58 1041838.19, 746204.77 1041839.09, 746208.26 1041838.34, 746208.07 1041837.44, 746212.55 1041836.49, 746212.5 1041836.22, 746212.18 1041834.74, 746214.38 1041834.27, 746214.86 1041834.16, 746213.31 1041826.69, 746212.81 1041826.8, 746210.6 1041827.28, 746210.18 1041825.35))),,,,,,,,,,,,,,,,
MultiPolygon (((746183.63 1041835.7, 746184.77 1041841, 746185.12 1041840.92, 746186.84 1041840.55, 746187.16 1041842.02, 746200.7 1041839.13, 746200.68 1041839.02, 746198.37 1041827.81, 746198.08 1041827.87, 746195.83 1041828.36, 746195.53 1041828.43, 746195.56 1041828.57, 746184.83 1041830.88, 746185.12 1041832.33, 746183.01 1041832.8, 746183.63 1041835.7))),,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746431.84 1041800.03, 746420.4 1041804.18, 746420.11 1041803.38, 746410.05 1041806.28, 746410.62 1041808.09, 746410.85 1041808.02, 746411.52 1041810.32, 746418.62 1041808.27, 746420.47 1041808.33, 746421.66 1041811.72, 746420.53 1041812.5, 746421.31 1041814.72, 746422.71 1041814.7, 746424.16 1041818.85, 746430.75 1041816.48, 746430.97 1041817.07, 746433.92 1041815.99, 746433.71 1041815.42, 746435.6 1041814.73, 746432.16 1041805.13, 746433.5 1041804.59, 746432.2 1041801.03, 746431.84 1041800.03))),,,,,,,,,,,,,
MultiPolygon (((746386.37 1041825.06, 746387.64 1041828.6, 746388.01 1041828.46, 746389.07 1041831.44, 746393.41 1041829.89, 746393.99 1041831.52, 746398.41 1041829.94, 746397.83 1041828.31, 746402.15 1041826.77, 746398.85 1041817.36, 746385.81 1041822.07, 746386.74 1041824.93, 746386.37 1041825.06))),,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746353.9 1041832.13, 746357.37 1041841.87, 746368.23 1041837.96, 746368.35 1041838.28, 746371.58 1041837.08, 746367.89 1041826.72, 746359.22 1041829.86, 746357.72 1041830.4, 746353.78 1041831.81, 746353.9 1041832.13))),,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746350.1 1041826.58, 746352.12 1041832.46, 746353.78 1041831.81, 746357.72 1041830.4, 746359.22 1041829.86, 746356.96 1041823.95, 746350.1 1041826.58))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746314.31 1041846.29, 746317.37 1041854.78, 746323.45 1041852.63, 746323.7 1041853.28, 746336.82 1041848.54, 746333.55 1041839.47, 746333.3 1041838.8, 746332.84 1041838.97, 746333.08 1041839.63, 746314.31 1041846.29))),,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746298.25 1041848.95, 746286.03 1041853.34, 746288.9 1041861.21, 746286.08 1041862.22, 746288.01 1041867.6, 746291.29 1041866.42, 746290.84 1041865.12, 746298.64 1041862.32, 746298.94 1041863.22, 746302.87 1041861.81, 746302.55 1041860.91, 746304.4 1041860.25, 746301.68 1041852.57, 746299.77 1041853.19, 746298.25 1041848.95))),,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746264.14 1041875.92, 746267.14 1041874.86, 746266.75 1041873.76, 746275.23 1041870.71, 746273.37 1041865.54, 746275.26 1041864.86, 746272.85 1041858.15, 746259.53 1041862.96, 746262.98 1041872.63, 746262.71 1041872.76, 746262.47 1041872.94, 746262.27 1041873.15, 746262.1 1041873.4, 746261.98 1041873.67, 746261.9 1041873.95, 746261.87 1041874.25, 746261.9 1041874.55, 746261.97 1041874.83, 746262.1 1041875.1, 746262.26 1041875.35, 746262.47 1041875.57, 746262.71 1041875.74, 746262.97 1041875.87, 746263.26 1041875.96, 746263.55 1041876, 746263.85 1041875.98, 746264.14 1041875.92))),,,,,,,,,
MultiPolygon (((746243.94 1041864.34, 746239.89 1041865.8, 746234.11 1041867.88, 746235.45 1041871.56, 746237.32 1041876.73, 746239.16 1041881.78, 746239.73 1041881.58, 746240.34 1041883.27, 746251.86 1041879.1, 746251.24 1041877.4, 746251.81 1041877.2, 746249.96 1041872.12, 746249.99 1041871.52, 746249.93 1041870.91, 746249.77 1041870.33, 746249.52 1041869.78, 746249.18 1041869.27, 746248.77 1041868.83, 746247.13 1041864.48, 746244.34 1041865.47, 746243.94 1041864.34))),,,,,,,,,,,,,,,
MultiPolygon (((746222.68 1041869.78, 746218.11 1041871.39, 746217.73 1041870.32, 746214.55 1041871.44, 746214.15 1041870.29, 746207.49 1041872.63, 746210.34 1041880.82, 746212.73 1041879.99, 746213.81 1041882.99, 746209.69 1041884.41, 746213.26 1041894.54, 746216.45 1041893.42, 746215.96 1041892.01, 746226.68 1041888.25, 746228.57 1041887.59, 746228.73 1041887.53, 746225.67 1041878.89, 746223.92 1041879.5, 746222.86 1041876.46, 746224.79 1041875.81, 746222.68 1041869.78))),,,,,,,,,,,,,,,
MultiPolygon (((746186.19 1041887.48, 746190.55 1041901.36, 746195.88 1041899.67, 746195.5 1041898.56, 746202.02 1041896.48, 746198.94 1041886.86, 746195.25 1041888.03, 746192.96 1041881.17, 746184.99 1041883.7, 746186.19 1041887.48))),,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746152.14 1041837.97, 746152.24 1041839.34, 746150.92 1041839.43, 746151.18 1041843.16, 746156.28 1041842.76, 746156.02 1041839.07, 746154.71 1041839.17, 746154.62 1041837.79, 746152.14 1041837.97))),,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746108.42 1041730.43, 746108.65 1041733.62, 746107.26 1041733.7, 746107.52 1041738, 746107.79 1041742.41, 746114.47 1041742.01, 746114.38 1041740.49, 746119.34 1041740.18, 746119.12 1041736.71, 746120.22 1041736.64, 746120.02 1041733.4, 746118.92 1041733.47, 746118.69 1041729.83, 746108.42 1041730.43))),,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746069.53 1041741.51, 746072.97 1041753.34, 746078.3 1041751.79, 746078.55 1041752.66, 746083.2 1041751.31, 746082.95 1041750.44, 746083.82 1041750.19, 746081.89 1041743.53, 746085.37 1041743.05, 746083.7 1041737.4, 746080.3 1041738.39, 746069.53 1041741.51))),,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746058.73 1041744.64, 746062.17 1041756.48, 746063.02 1041756.23, 746063.27 1041757.09, 746067.9 1041755.75, 746067.65 1041754.88, 746072.97 1041753.34, 746069.53 1041741.51, 746058.73 1041744.64))),,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746106.99 1041767.18, 746109.01 1041774.07, 746105.6 1041774.96, 746107.45 1041780.92, 746110.77 1041779.97, 746121.68 1041776.87, 746120.19 1041771.62, 746121.38 1041771.28, 746120.23 1041767.26, 746119.03 1041767.61, 746117.96 1041763.96, 746106.99 1041767.18))),,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746092.76 1041775.58, 746094.44 1041781.17, 746094.95 1041781.02, 746097.56 1041780.29, 746100.13 1041779.51, 746098.51 1041773.92, 746097.79 1041774.12, 746092.76 1041775.58))),,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746075.3 1041777.42, 746077.57 1041784.64, 746089.33 1041781.28, 746089.69 1041782.53, 746094.44 1041781.17, 746092.76 1041775.58, 746091.87 1041772.62, 746075.3 1041777.42))),,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746049.99 1041783.56, 746053.15 1041794.15, 746068.3 1041789.72, 746065.25 1041779.11, 746049.99 1041783.56))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746114.98 1041812.08, 746115.91 1041815.27, 746113.09 1041816.08, 746112.63 1041814.44, 746109.38 1041815.39, 746111.76 1041823.47, 746112.07 1041823.38, 746113.73 1041822.89, 746114.66 1041826.05, 746118.02 1041825.14, 746118.17 1041825.5, 746118.37 1041825.82, 746118.63 1041826.11, 746118.93 1041826.36, 746119.27 1041826.55, 746119.63 1041826.68, 746120.01 1041826.75, 746120.39 1041826.75, 746120.78 1041826.7, 746121.14 1041826.58, 746121.49 1041826.4, 746121.79 1041826.17, 746122.06 1041825.89, 746122.27 1041825.57, 746122.43 1041825.21, 746122.53 1041824.84, 746122.57 1041824.46, 746122.54 1041824.07, 746122.45 1041823.7, 746122.3 1041823.34, 746124.28 1041822.75, 746121.71 1041813.62, 746121.42 1041813.7, 746120.58 1041810.46, 746114.98 1041812.08))),
MultiPolygon (((746079.77 1041821.76, 746080.24 1041825.07, 746081.58 1041824.67, 746083.49 1041824.1, 746086.77 1041835.39, 746101.81 1041831.08, 746098.38 1041819.55, 746089.5 1041822.1, 746086.77 1041812.4, 746077.84 1041815.11, 746078.8 1041818.43, 746079.77 1041821.76))),,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746073.24 1041810.54, 746074.75 1041815.93, 746077.84 1041815.11, 746076.39 1041809.65, 746073.24 1041810.54))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746069.75 1041811.52, 746071.26 1041816.91, 746074.75 1041815.93, 746073.24 1041810.54, 746069.75 1041811.52))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746067.13 1041832.03, 746058.94 1041834.34, 746061.18 1041842.56, 746068.67 1041840.46, 746067.5 1041836.06, 746070.77 1041835.14, 746069.86 1041832.04, 746067.33 1041832.75, 746067.13 1041832.03))),,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746123.53 1041847.01, 746119.7 1041848.12, 746116.13 1041849.14, 746114.41 1041849.64, 746113.87 1041847.76, 746110.71 1041848.67, 746111.89 1041852.83, 746111.6 1041852.91, 746113.47 1041859.52, 746113.75 1041859.44, 746114.28 1041861.3, 746114.79 1041863.09, 746116.15 1041863.85, 746118.87 1041863.18, 746119.57 1041861.84, 746119.2 1041860.64, 746126.81 1041858.35, 746125.41 1041851.94, 746125.78 1041851.7, 746126.11 1041851.41, 746126.39 1041851.06, 746126.6 1041850.67, 746126.74 1041850.25, 746126.8 1041849.81, 746126.79 1041849.37, 746126.71 1041848.93, 746126.55 1041848.52, 746126.32 1041848.14, 746126.03 1041847.81, 746125.69 1041847.52, 746125.3 1041847.31, 746124.89 1041847.16, 746124.45 1041847.08, 746124.01 1041847.08, 746123.57 1041847.16, 746123.53 1041847.01)))
MultiPolygon (((746086.62 1041859.05, 746089.67 1041869.88, 746090.16 1041869.74, 746090.29 1041870.11, 746090.48 1041870.46, 746090.73 1041870.76, 746091.03 1041871.02, 746091.36 1041871.23, 746091.73 1041871.38, 746092.12 1041871.46, 746092.51 1041871.48, 746092.9 1041871.43, 746093.28 1041871.31, 746093.63 1041871.13, 746093.95 1041870.9, 746096.97 1041870, 746096.88 1041869.72, 746096.38 1041867.96, 746103.29 1041866, 746103.05 1041865.13, 746103.52 1041865, 746104.99 1041869.98, 746110.31 1041868.42, 746108.74 1041862.87, 746108.45 1041862.95, 746103.92 1041864.19, 746102.83 1041860.43, 746101.79 1041860.73, 746101.24 1041858.81, 746100.14 1041854.93, 746094.15 1041856.62, 746090.65 1041857.61, 746086.54 1041858.77, 746086.62 1041859.05))),,
MultiPolygon (((746058 1041866.21, 746060.96 1041876.84, 746066.05 1041875.39, 746066.46 1041876.8, 746072.44 1041875.09, 746071.99 1041873.55, 746078.07 1041871.76, 746076.5 1041866.26, 746073.47 1041867.13, 746072.04 1041867.54, 746070.63 1041862.64, 746069.38 1041862.97, 746064.38 1041864.41, 746058 1041866.21))),,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746108.38 1041898.13, 746109.1 1041901.76, 746109.95 1041901.57, 746111.14 1041906.8, 746110.3 1041906.99, 746111.97 1041914.34, 746115.44 1041913.65, 746122.42 1041912.26, 746122.06 1041910.43, 746126.44 1041909.56, 746125.12 1041901.22, 746124.81 1041899.65, 746114.92 1041901.54, 746114.06 1041897.04, 746113.54 1041897.14, 746108.38 1041898.13))),,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746097.82 1041904.53, 746084.56 1041907.01, 746084.7 1041907.8, 746083.81 1041907.96, 746084.88 1041913.82, 746084.44 1041913.9, 746085.28 1041918.53, 746085.59 1041920.21, 746101.36 1041917.27, 746101.54 1041917.23, 746100.37 1041910.91, 746099.93 1041910.99, 746098.85 1041905.16, 746097.96 1041905.33, 746097.82 1041904.53))),,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((746075.71 1041899.54, 746076.81 1041905.35, 746082.63 1041904.25, 746081.5 1041898.28, 746075.71 1041899.54))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
